OBJECTID,HUC12,Name,RarAqRankSW,RarAqSumSW,RarFish,RarAqAmph,RarAqRept,Shape__Area,Shape__Length
915,180300060502,Middle Lewis Creek,0,0,0,0,0,65591647.3945312,42311.2666273288
916,180300100802,Lower Big Creek,3,0.226415,0,1,1,165281923.976562,96848.00223847
917,180300100805,Upper Pine Flat Reservoir,3,0.226415,0,1,1,130500744.789062,60420.4437480511
918,180300100504,Lower Dinkey Creek,2,0.150943,0,2,0,160758147.050781,68880.8388435173
919,180300100502,Middle Dinkey Creek,3,0.226415,0,3,0,125989169.503906,56979.5871316128
920,180300100704,Verplank Creek-Kings River,3,0.226415,0,1,1,107977762.824219,64711.2742036902
921,180400060302,Lower Fish Creek,3,0.207547,1,2,0,238601097.667969,78809.9415120613
922,180901020202,Dry Creek,2,0.150943,0,2,0,98429914.6171875,70054.7014142185
923,180400090102,Dana Fork,2,0.150943,0,2,0,110606354.46875,62483.328473807
924,160503010103,Virginia Creek,1,0.075472,0,1,0,150643628.144531,80828.6646430752
925,160503010204,Paramount Mine,0,0,0,0,0,82017349.1328125,52043.1322595276
926,160503010208,Lower Rough Creek,0,0,0,0,0,6110922.51171875,15709.579860555
927,180701020704,Tar Creek,4,0.358491,1,0,2,66685410.09375,39892.8271898469
928,180701020601,Agua Blanca Creek,5,0.509434,1,2,2,128418855.253906,65330.4931714159
929,180701020604,Hosler Canyon-Piru Creek,5,0.490566,2,1,2,57928350.3671875,41799.0027549473
930,180300030902,Liveoak Canyon,0,0,0,0,0,79563271.9179688,59094.724407153
931,180300060302,Middle South Fork Tule River,2,0.150943,0,0,1,242827521.714844,80079.973133905
932,180300070503,Lower South Fork Kaweah River,1,0.075472,0,1,0,92148371.2265625,49983.386474082
933,180300100308,Crown Creek,3,0.226415,0,3,0,200882689.050781,76981.7207430008
934,180400060201,Evolution Creek,2,0.150943,0,2,0,148645075.519531,64730.4654424634
935,180400060205,Bear Creek,3,0.283019,1,3,0,220589447.828125,86706.7971046535
936,180901010106,180901010106-Frontal Mono Lake,0,0,0,0,0,182695552.460938,93108.7890385295
937,180901010602,180901010602,0,0,0,0,0,72758576.9882812,48559.1885423885
938,180701060101,Upper Dominguez Channel,1,0.075472,0,1,0,99243397.3164062,63349.4369872443
939,180701060102,Lower Dominguez Channel,0,0,0,0,0,212581726.386719,86145.2454564851
940,180701040401,Garapito Creek,5,0.433962,1,1,2,74473860.9414062,49639.5296887972
941,180701050204,Bull Creek,1,0.075472,0,1,0,82497116.6796875,65527.8889914588
942,180701040403,Santa Monica Beach-Frontal Santa Monica Bay,4,0.320755,3,0,1,169942894.902344,119626.542999532
943,180701020304,Elizabeth Lake Canyon,5,0.433962,1,1,2,206663548.363281,83961.959174178
944,180701020106,Mint Canyon,1,0.075472,0,1,0,111499376.371094,71566.9451863366
945,180701050205,Upper Pacoima Wash,5,0.603774,0,2,3,108030572.058594,67153.449892353
946,180902061405,Broad Canyon,0,0,0,0,0,137266745.375,85724.2000401603
947,180902061308,Kings Canyon,0,0,0,0,0,152135021.105469,138879.900934524
948,180300030201,Brite Creek,0,0,0,0,0,63969124.6914062,50639.2011559339
949,180300030203,Tweedy Creek,0,0,0,0,0,70259615.7382812,45577.3973611954
950,180300030106,Mill Creek-Kern River,1,0.075472,0,1,0,177665892.652344,74965.322174487
951,180300030104,Clear Creek,0,0,0,0,0,93386564.6289062,64985.791269601
952,180300030405,Upper Caliente Creek,0,0,0,0,0,81409952.9140625,45273.4729842839
953,180300030105,Black Gulch-Kern River,3,0.226415,0,1,1,92054886.1953125,53062.2188311177
954,180300010504,South Creek,1,0.075472,0,1,0,90839878.1132812,59629.3865005466
955,180300010502,Peppermint Creek-Kern River,1,0.075472,0,1,0,209859450.804688,82708.5294685064
956,180300010301,Alpine Creek,2,0.188679,2,1,0,108246187.265625,56086.1506789403
957,180300100104,Lower Roaring River,0,0,0,0,0,75367960.6328125,49556.2487454636
958,180300010102,Tyndall Creek-Kern River,1,0.075472,0,1,0,158759387.585938,59666.5179059596
959,180300100303,Cartridge Creek,0,0,0,0,0,82147728.0234375,41908.7459997672
960,180901020506,Millner Creek-Spring Canyon Creek,0,0,0,0,0,158581825.460938,79687.4121328622
961,180701060702,Alamitos Bay,3,0.226415,0,1,1,186585202.59375,82186.672526143
962,180701050104,Little Tujunga Creek,1,0.056604,1,0,0,79387091.2109375,46112.5424248656
963,180902061501,Lake Palmdale,0,0,0,0,0,191610704.523438,71220.7999631543
